chinese,english,math,society,science,PR,H_GPA,avg,grade_10,grade_5,grade_3,grade_2
71.5,78.68,74.41,51.86,76.97,92,1.604,70.83,C,C,B,A
52.47,60.28,100,69.89,84.08,85,3.76,89.67,B,B,A,A
71.5,44.27,97.93,83.37,84.08,81,3.92,93.8,A,A,A,A
52.47,69.86,87.02,83.37,76.97,89,1.96,86.07,B,B,A,A
36.19,78.68,91.66,26.69,68.62,96,3.411,79.42,C,C,B,A
88.02,44.27,81.73,51.86,95.82,60,2.438,65.08,D,D,B,A
52.47,95.24,74.41,39.1,76.97,60,2.462,72,C,C,B,A
36.19,60.28,91.66,51.86,84.08,86,3.805,90.71,A,A,A,A
88.02,78.68,74.41,69.89,76.97,89,2.754,67.96,D,D,B,A
52.47,87.82,81.73,83.37,90.6,81,3.971,90.57,A,A,A,A
36.19,60.28,81.73,83.37,84.08,91,2.269,65.65,D,D,B,A
71.5,87.82,67.19,69.89,84.08,92,2.924,83.15,B,B,A,A
52.47,60.28,91.66,69.89,76.97,85,3.198,66,D,D,B,A
52.47,87.82,74.41,51.86,84.08,60,2.96,65.42,D,D,B,A
52.47,95.24,74.41,69.89,84.08,81,1.964,73.92,C,C,B,A
52.47,51.55,91.66,83.37,90.6,87,3.244,80.5,B,B,A,A
52.47,51.55,95.05,69.89,95.82,84,3.364,88.79,B,B,A,A
36.19,69.86,81.73,39.1,84.08,54,1.934,67.54,D,D,B,A
36.19,78.68,91.66,83.37,84.08,87,3.897,93.89,A,A,A,A
24.55,78.68,87.02,39.1,76.97,64,1.588,69.6,D,D,B,A
24.55,69.86,91.66,26.69,68.62,72,3.019,74.61,C,C,B,A
71.5,51.55,91.66,39.1,90.6,73,3.191,81.67,B,B,A,A
36.19,69.86,91.66,51.86,76.97,73,1.219,65.97,D,D,B,A
96.95,78.68,81.73,69.89,76.97,16,1.935,72.05,C,C,B,A
71.5,69.86,91.66,69.89,76.97,74,3.455,79.98,C,C,B,A
71.5,51.55,91.66,69.89,84.08,54,2.129,74.16,C,C,B,A
36.19,87.82,81.73,51.86,76.97,68,3.769,78.75,C,C,B,A
52.47,69.86,67.19,69.89,84.08,80,2.709,79.95,C,C,B,A
24.55,44.27,91.66,39.1,84.08,85,1.841,71.25,C,C,B,A
36.19,60.28,74.41,39.1,90.6,85,3.02,79.25,C,C,B,A
36.19,60.28,87.02,69.89,76.97,62,1.14,65.45,D,D,B,A
36.19,60.28,91.66,39.1,76.97,82,1.127,56.36,E,F,F,F
88.02,51.55,91.66,26.69,68.62,93,1.411,56,E,F,F,F
36.19,51.55,87.02,51.86,76.97,85,3.12,82.65,B,B,A,A
36.19,78.68,74.41,83.37,68.62,85,2.049,68.89,D,D,B,A
36.19,69.86,91.66,12.54,68.62,79,1.989,71.6,C,C,B,A
52.47,78.68,81.73,39.1,76.97,82,2.919,69.75,D,D,B,A
52.47,87.82,48.73,51.86,84.08,82,3.075,73.2,C,C,B,A
71.5,95.24,57.7,51.86,76.97,60,1.45,62.91,D,D,B,A
88.02,78.68,81.73,39.1,76.97,80,3.42,80.08,B,B,A,A
16.92,44.27,91.66,69.89,76.97,80,1.826,65.35,D,D,B,A
36.19,30.61,95.05,69.89,84.08,84,2.805,61.93,D,D,B,A
52.47,60.28,81.73,69.89,84.08,87,3.459,83.3,B,B,A,A
52.47,60.28,91.66,51.86,76.97,77,2.047,64.34,D,D,B,A
52.47,60.28,87.02,39.1,68.62,65,2.155,65.63,D,D,B,A
24.55,51.55,81.73,51.86,84.08,81,0.437,57.5,E,F,F,F
36.19,51.55,91.66,69.89,84.08,74,0.73,51.02,E,F,F,F
88.02,44.27,91.66,39.1,76.97,87,3.172,78.35,C,C,B,A
52.47,51.55,81.73,51.86,84.08,84,3.253,81.73,B,B,A,A
88.02,78.68,74.41,83.37,84.08,54,2.45,76.42,C,C,B,A
88.02,69.86,81.73,95.49,84.08,96,2.597,80.75,B,B,A,A
36.19,60.28,74.41,51.86,84.08,79,1.621,57.65,E,F,F,F
52.47,44.27,91.66,39.1,84.08,79,2.613,72.89,C,C,B,A
24.55,30.61,95.05,83.37,84.08,84,2.385,84.95,B,B,A,A
24.55,69.86,87.02,39.1,68.62,71,3.971,90.27,A,A,A,A
36.19,87.82,67.19,39.1,68.62,64,1.375,59.8,E,F,F,F
36.19,60.28,81.73,83.37,76.97,92,2.703,81.84,B,B,A,A
88.02,37.26,87.02,83.37,90.6,95,3.052,84.63,B,B,A,A
96.95,51.55,87.02,69.89,76.97,82,3.652,84.43,B,B,A,A
88.02,69.86,74.41,26.69,76.97,71,3.273,74.35,C,C,B,A
96.95,69.86,81.73,69.89,76.97,81,3.155,73.55,C,C,B,A
71.5,69.86,87.02,51.86,68.62,92,2.433,68.65,D,D,B,A
71.5,69.86,91.66,51.86,68.62,50,3.818,79.63,C,C,B,A
71.5,78.68,67.19,39.1,84.08,73,3.028,74.67,C,C,B,A
16.92,78.68,67.19,69.89,76.97,68,2.238,69.5,D,D,B,A
52.47,44.27,91.66,51.86,76.97,72,3.381,83.08,B,B,A,A
88.02,69.86,81.73,69.89,68.62,75,2.139,72.67,C,C,B,A
67.22,95.35,91.46,50.26,68.01,86,2.106,50.67,E,F,F,F
67.22,78.6,87,80.24,75.84,94,2.222,74,C,C,B,A
50.6,95.35,91.46,25.28,59.23,82,1.889,69.58,D,D,B,A
97.95,69.37,95.53,64.27,75.84,82,1.354,57.33,E,F,F,F
50.6,78.6,87,50.26,68.01,89,3.073,68.75,D,D,B,A
82.09,69.37,74.13,50.26,83.4,91,3.129,90,B,A,A,A
50.6,60.17,100,80.24,95.53,89,1.976,83.08,B,B,A,A
23.3,87.21,95.53,25.28,75.84,80,2.257,30.5,G,F,F,F
92.52,69.37,80.61,80.24,95.53,89,3.751,88.08,B,B,A,A
67.22,78.6,80.61,80.24,89.97,93,2.215,70.67,C,C,B,A
50.6,69.37,95.53,25.28,68.01,87,3.871,79.17,C,C,B,A
82.09,78.6,80.61,64.27,68.01,94,3.923,90.17,A,A,A,A
14.84,87.21,95.53,36.76,39.66,85,3.298,79.58,C,C,B,A
50.6,60.17,91.46,36.76,83.4,60,2.921,74.25,C,C,B,A
67.22,60.17,87,64.27,95.53,93,2.535,78.17,C,C,B,A
82.09,69.37,91.46,25.28,75.84,81,3.552,70.58,C,C,B,A
50.6,69.37,87,64.27,75.84,84,3.811,91.17,A,A,A,A
50.6,43.76,100,50.26,89.97,73,2.863,72,C,C,B,A
67.22,60.17,91.46,50.26,68.01,43,2.366,69.75,D,D,B,A
67.22,78.6,74.13,80.24,75.84,82,3.574,71.33,C,C,B,A
35.34,43.76,91.46,80.24,89.97,82,1.376,62.83,D,D,B,A
50.6,69.37,74.13,64.27,83.4,79,2.794,74.58,C,C,B,A
67.22,43.76,87,50.26,89.97,80,3.136,66.5,D,D,B,A
67.22,78.6,65.67,96.56,83.4,89,2.581,43.58,F,F,F,F
82.09,52.09,95.53,80.24,68.01,83,3.745,84.5,B,B,A,A
14.84,69.37,87,50.26,83.4,72,2.25,65.25,D,D,B,A
35.34,60.17,87,25.28,83.4,83,3.059,74,C,C,B,A
67.22,52.09,95.53,50.26,75.84,85,2.067,59.5,E,F,F,F
9.14,60.17,95.53,64.27,68.01,66,3.265,62,D,D,B,A
14.84,87.21,87,25.28,68.01,81,1.206,43.08,F,F,F,F
50.6,43.76,91.46,64.27,83.4,54,2.308,67.25,D,D,B,A
35.34,43.76,97.89,64.27,75.84,78,3.055,73.92,C,C,B,A
82.09,78.6,80.61,64.27,83.4,69,3.095,80.42,B,B,A,A
82.09,36.01,95.53,64.27,83.4,77,3.592,79.5,C,C,B,A
50.6,43.76,91.46,64.27,83.4,56,2.805,67.67,D,D,B,A
35.34,69.37,87,50.26,83.4,73,2.603,75.83,C,C,B,A
67.22,87.21,74.13,80.24,89.97,73,3.375,88.08,B,B,A,A
67.22,60.17,87,64.27,75.84,89,3.97,95.67,A,A,A,A
35.34,43.76,95.53,50.26,83.4,56,3,71.83,C,C,B,A
82.09,43.76,91.46,36.76,83.4,75,2.641,74,C,C,B,A
50.6,69.37,80.61,64.27,89.97,64,3.771,84.67,B,B,A,A
