chinese,english,math,society,science,PR,H_GPA,M,M_10,M_5,M_3,M_2
71.5,78.68,74.41,51.86,76.97,92,1.604,50,F,F,F,F
52.47,60.28,100,69.89,84.08,85,3.76,76,C,C,B,A
71.5,44.27,97.93,83.37,84.08,81,3.92,75,C,C,B,A
52.47,69.86,87.02,83.37,76.97,89,1.96,64,D,D,B,A
36.19,78.68,91.66,26.69,68.62,96,3.411,60,E,D,B,A
88.02,44.27,81.73,51.86,95.82,60,2.438,40,G,F,F,F
52.47,95.24,74.41,39.1,76.97,60,2.462,60,E,D,B,A
36.19,60.28,91.66,51.86,84.08,86,3.805,60,E,D,B,A
88.02,78.68,74.41,69.89,76.97,89,2.754,63,D,D,B,A
52.47,87.82,81.73,83.37,90.6,81,3.971,95,A,A,A,A
71.5,87.82,67.19,69.89,84.08,92,2.924,40,G,F,F,F
52.47,60.28,91.66,69.89,76.97,85,3.198,9,J,F,F,F
52.47,87.82,74.41,51.86,84.08,60,2.96,15,I,F,F,F
52.47,95.24,74.41,69.89,84.08,81,1.964,40,G,F,F,F
52.47,51.55,91.66,83.37,90.6,87,3.244,60,E,D,B,A
52.47,51.55,95.05,69.89,95.82,84,3.364,60,E,D,B,A
36.19,69.86,81.73,39.1,84.08,54,1.934,40,G,F,F,F
36.19,78.68,91.66,83.37,84.08,87,3.897,77,C,C,B,A
24.55,78.68,87.02,39.1,76.97,64,1.588,60,E,D,B,A
24.55,69.86,91.66,26.69,68.62,72,3.019,74,C,C,B,A
71.5,51.55,91.66,39.1,90.6,73,3.191,60,E,D,B,A
71.5,69.86,91.66,69.89,76.97,74,3.455,60,E,D,B,A
71.5,51.55,91.66,69.89,84.08,54,2.129,60,E,D,B,A
36.19,87.82,81.73,51.86,76.97,68,3.769,88,B,B,A,A
36.19,60.28,74.41,39.1,90.6,85,3.02,65,D,D,B,A
36.19,78.68,74.41,83.37,68.62,85,2.049,60,E,D,B,A
36.19,69.86,91.66,12.54,68.62,79,1.989,50,F,F,F,F
52.47,87.82,48.73,51.86,84.08,82,3.075,60,E,D,B,A
71.5,95.24,57.7,51.86,76.97,60,1.45,40,G,F,F,F
88.02,78.68,81.73,39.1,76.97,80,3.42,60,E,D,B,A
36.19,30.61,95.05,69.89,84.08,84,2.805,67,D,D,B,A
52.47,60.28,81.73,69.89,84.08,87,3.459,60,E,D,B,A
52.47,60.28,91.66,51.86,76.97,77,2.047,60,E,D,B,A
52.47,60.28,87.02,39.1,68.62,65,2.155,50,F,F,F,F
36.19,51.55,91.66,69.89,84.08,74,0.73,1,J,F,F,F
88.02,44.27,91.66,39.1,76.97,87,3.172,70,D,C,B,A
52.47,51.55,81.73,51.86,84.08,84,3.253,60,E,D,B,A
88.02,69.86,81.73,95.49,84.08,96,2.597,64,D,D,B,A
24.55,30.61,95.05,83.37,84.08,84,2.385,6,J,F,F,F
24.55,69.86,87.02,39.1,68.62,71,3.971,86,B,B,A,A
36.19,87.82,67.19,39.1,68.62,64,1.375,61,D,D,B,A
88.02,37.26,87.02,83.37,90.6,95,3.052,13,I,F,F,F
96.95,51.55,87.02,69.89,76.97,82,3.652,64,D,D,B,A
88.02,69.86,74.41,26.69,76.97,71,3.273,60,E,D,B,A
71.5,69.86,87.02,51.86,68.62,92,2.433,60,E,D,B,A
71.5,69.86,91.66,51.86,68.62,50,3.818,64,D,D,B,A
71.5,78.68,67.19,39.1,84.08,73,3.028,60,E,D,B,A
16.92,78.68,67.19,69.89,76.97,68,2.238,40,G,F,F,F
52.47,44.27,91.66,51.86,76.97,72,3.381,69,D,D,B,A
67.22,95.35,91.46,50.26,68.01,86,2.106,49.5,F,F,F,F
67.22,78.6,87,80.24,75.84,94,2.222,9.5,J,F,F,F
50.6,95.35,91.46,25.28,59.23,82,1.889,51.5,E,F,F,F
97.95,69.37,95.53,64.27,75.84,82,1.354,65,D,D,B,A
50.6,78.6,87,50.26,68.01,89,3.073,60,E,D,B,A
82.09,69.37,74.13,50.26,83.4,91,3.129,79,C,C,B,A
50.6,60.17,100,80.24,95.53,89,1.976,87,B,B,A,A
23.3,87.21,95.53,25.28,75.84,80,2.257,3,J,F,F,F
92.52,69.37,80.61,80.24,95.53,89,3.751,63,D,D,B,A
67.22,78.6,80.61,80.24,89.97,93,2.215,57.5,E,F,F,F
50.6,69.37,95.53,25.28,68.01,87,3.871,93,A,A,A,A
82.09,78.6,80.61,64.27,68.01,94,3.923,87.5,B,B,A,A
14.84,87.21,95.53,36.76,39.66,85,3.298,66,D,D,B,A
50.6,60.17,91.46,36.76,83.4,60,2.921,65.5,D,D,B,A
67.22,60.17,87,64.27,95.53,93,2.535,52,E,F,F,F
82.09,69.37,91.46,25.28,75.84,81,3.552,83,B,B,A,A
50.6,69.37,87,64.27,75.84,84,3.811,80.5,B,B,A,A
50.6,43.76,100,50.26,89.97,73,2.863,89.5,B,B,A,A
67.22,60.17,91.46,50.26,68.01,43,2.366,61,D,D,B,A
67.22,78.6,74.13,80.24,75.84,82,3.574,69.5,D,D,B,A
35.34,43.76,91.46,80.24,89.97,82,1.376,35,G,F,F,F
50.6,69.37,74.13,64.27,83.4,79,2.794,81,B,B,A,A
67.22,43.76,87,50.26,89.97,80,3.136,65,D,D,B,A
67.22,78.6,65.67,96.56,83.4,89,2.581,56,E,F,F,F
82.09,52.09,95.53,80.24,68.01,83,3.745,86,B,B,A,A
14.84,69.37,87,50.26,83.4,72,2.25,60,E,D,B,A
35.34,60.17,87,25.28,83.4,83,3.059,61,D,D,B,A
67.22,52.09,95.53,50.26,75.84,85,2.067,62.5,D,D,B,A
9.14,60.17,95.53,64.27,68.01,66,3.265,60,E,D,B,A
14.84,87.21,87,25.28,68.01,81,1.206,37,G,F,F,F
50.6,43.76,91.46,64.27,83.4,54,2.308,73,C,C,B,A
35.34,43.76,97.89,64.27,75.84,78,3.055,86.5,B,B,A,A
82.09,78.6,80.61,64.27,83.4,69,3.095,61.5,D,D,B,A
82.09,36.01,95.53,64.27,83.4,77,3.592,83.5,B,B,A,A
50.6,43.76,91.46,64.27,83.4,56,2.805,62,D,D,B,A
35.34,69.37,87,50.26,83.4,73,2.603,71,C,C,B,A
67.22,87.21,74.13,80.24,89.97,73,3.375,78,C,C,B,A
67.22,60.17,87,64.27,75.84,89,3.97,88,B,B,A,A
35.34,43.76,95.53,50.26,83.4,56,3,61.5,D,D,B,A
82.09,43.76,91.46,36.76,83.4,75,2.641,44.5,F,F,F,F
50.6,69.37,80.61,64.27,89.97,64,3.771,93,A,A,A,A
50.6,78.6,80.61,36.76,75.84,56,2.707,78,C,C,B,A
35.34,69.37,80.61,64.27,83.4,34,3.193,53.5,E,F,F,F
67.22,69.37,74.13,50.26,83.4,77,2.548,72.5,C,C,B,A
67.22,36.01,97.89,36.76,83.4,73,1.416,35,G,F,F,F
82.09,69.37,74.13,64.27,83.4,73,2.206,39.5,G,F,F,F
67.22,69.37,74.13,80.24,83.4,73,2.584,44.5,F,F,F,F
35.34,78.6,87,50.26,68.01,84,1.911,59.5,E,F,F,F
67.22,87.21,74.13,64.27,75.84,68,3.068,60,E,D,B,A
35.34,52.09,97.89,14.27,68.01,68,2.263,46,F,F,F,F
50.6,43.76,95.53,64.27,83.4,57,3.702,88,B,B,A,A
9.9,90.7,85.62,57.51,82.02,91,2.462,47,F,F,F,F
77.31,37.93,93.96,93.96,82.02,91,3.711,68,D,D,B,A
45.71,61.76,85.62,90.68,89.48,86,2.504,83,B,B,A,A
61.47,68.97,90.68,80.36,66.67,86,2.547,71,C,C,B,A
32.76,61.76,93.96,74.39,66.67,69,3.168,83.5,B,B,A,A
45.71,83.45,85.62,90.68,89.48,82,2.696,51,E,F,F,F
9.9,83.45,80.36,74.39,74.44,96,3.95,97,A,A,A,A
22.7,76.53,96.59,93.96,74.44,93,2.563,23.5,H,F,F,F
32.76,61.76,85.62,80.36,89.48,75,2.777,69,D,D,B,A
61.47,61.76,90.68,85.62,74.44,89,3.726,84,B,B,A,A
61.47,53.96,90.68,98.59,95.5,80,2.15,25,H,F,F,F
32.76,68.97,85.62,93.96,82.02,90,3.174,29.5,H,F,F,F
77.31,45.91,85.62,93.96,74.44,78,1.321,19,I,F,F,F
45.71,90.7,85.62,96.59,82.02,50,3.016,71.5,C,C,B,A
45.71,76.53,85.62,90.68,66.67,79,3.76,81.5,B,B,A,A
61.47,53.96,85.62,96.59,89.48,71,3.78,75.5,C,C,B,A
77.31,28.5,93.96,85.62,74.44,49,3.724,70,D,C,B,A
32.76,45.91,85.62,93.96,74.44,92,2.808,58.5,E,F,F,F
90.21,45.91,80.36,90.68,95.5,89,2.428,62.5,D,D,B,A
61.47,76.53,85.62,85.62,58.63,82,3.073,72.5,C,C,B,A
32.76,76.53,74.39,90.68,74.44,82,2.128,31,G,F,F,F
32.76,83.45,74.39,85.62,58.63,80,2.258,49,F,F,F,F
32.76,61.76,85.62,80.36,74.44,87,2.85,50.5,E,F,F,F
45.71,68.97,80.36,90.68,58.63,78,2.359,58,E,F,F,F
61.47,61.76,74.39,93.96,74.44,83,2.191,34.5,G,F,F,F
61.47,37.93,80.36,96.59,89.48,80,2.341,48.5,F,F,F,F
61.47,53.96,80.36,93.96,82.02,80,1.215,43,F,F,F,F
15.22,61.76,80.36,93.96,74.44,62,2.487,22.5,H,F,F,F
61.47,61.76,74.39,90.68,74.44,85,2.234,62.5,D,D,B,A
45.71,76.53,74.39,93.96,66.67,91,2.637,60,E,D,B,A
45.71,68.97,85.62,90.68,66.67,60,2.991,34,G,F,F,F
61.47,61.76,80.36,93.96,74.44,91,1.612,5,J,F,F,F
77.31,68.97,67.25,90.68,74.44,56,2.709,62.5,D,D,B,A
32.76,45.91,67.25,90.68,95.5,73,1.241,5,J,F,F,F
61.47,76.53,80.36,93.96,58.63,84,1.634,15,I,F,F,F
45.71,61.76,80.36,74.39,74.44,77,1.068,27,H,F,F,F
90.21,61.76,74.39,93.96,89.48,90,3.406,77,C,C,B,A
77.31,76.53,80.36,85.62,58.63,81,2.605,63.5,D,D,B,A
90.21,68.97,80.36,85.62,66.67,54,1.245,30.5,G,F,F,F
32.76,76.53,67.25,90.68,74.44,84,0.642,19,I,F,F,F
45.71,53.96,90.68,90.68,74.44,50,3.463,73,C,C,B,A
61.47,90.7,57.8,80.36,66.67,77,2.258,35,G,F,F,F
77.31,53.96,74.39,93.96,82.02,79,3.664,77.5,C,C,B,A
45.71,90.7,67.25,93.96,58.63,79,1.352,11.5,I,F,F,F
22.7,61.76,85.62,80.36,82.02,49,2.933,53.5,E,F,F,F
61.47,61.76,85.62,80.36,58.63,60,1.727,30,H,F,F,F
61.47,28.5,96.59,98.59,82.02,92,0.625,23,H,F,F,F
32.76,45.91,93.96,96.59,74.44,71,3.272,65.5,D,D,B,A
77.31,76.53,80.36,96.59,58.63,71,2.346,45.5,F,F,F,F
